Species,Locomotor_type4,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL,Elbow_Flexors,Wrist_Extension,ML,Wrist_Flexion,MW,TML
Cryptomys,CT,26.1,32.44,6.158,17.52,10.13,7.347,10.13,10.13,3.421,2.519,5.428,6.087,16.37,5.627,2.622,14.55,1.915,4.649,2.861
Ctenomys_maulinus,SD,21.51,33.42,5.126,17,8.649,7.129,8.649,8.229,2.342,1.883,5.283,4.715,16.02,3.629,4.222,16.2,2.218,5.412,4.464
Dipodomys_deserti,RIC,28.96,40.48,7.426,15.45,5.841,5.365,5.841,5.019,1.98,1.108,4.774,3.307,21.14,2.405,1.044,11.04,1.755,4.07,3.524
Dipodomys_merriami,RIC,22.28,34.23,4.835,12.02,5.115,4.182,5.115,4.41,1.904,0.868,3.654,2.599,17.34,2.488,1.225,9.452,1.345,3.859,1.805
Dipodomys_panamintinus,RIC,24.65,38.72,4.918,15.07,7.281,4.448,7.281,7.215,2.713,1.212,4.804,3.636,19.47,2.792,2.526,10.44,1.847,4.672,4.003
Dipodomys_microps,RIC,23.42,37.07,4.807,13.77,5.822,4.887,5.908,5.639,2.068,1.467,4.045,2.719,17.45,2.361,2.096,9.506,1.947,3.866,3.137
Eospalax_rothschildi,SD,24.33,39.07,9.075,19.68,10.02,7.734,10.02,9.67,4.185,3.258,9.084,6.975,14.59,2.836,4.697,22.34,6.395,9.615,9.409
Georychus_capensis,CT,25.4,33.46,6.679,21.31,12.59,11.56,12.59,12.61,3.601,2.533,6.315,6.484,18.46,4.207,1.969,17.66,1.844,6.567,2.35
Heliophobius_argenteocinereus,CT,27.53,35.18,6.385,21.42,13.06,11.32,13.06,12.61,3.77,2.85,6.028,7.356,17.93,3.856,1.718,19.48,2.832,7.704,2.512
Heterocephalus_glaber,CT,19.39,21.4,4.162,15.43,8.776,6.365,8.776,8.776,1.392,1.49,4.056,4.131,11.64,5.174,1.331,13.15,1.856,4.919,1.488
Blanfordimys_juldaschi,CUR,17.18,28.29,2.111,13.09,6.824,5.712,6.824,6.211,2.462,1.187,3.467,2.487,12.8,3.733,1.121,9.747,1.891,3.442,2.117
Microtus_pennsylvanicus,CUR,13.56,26.65,3.522,14.37,6.265,4.092,6.265,6.265,1.979,1.056,3.566,2.607,15.09,3.434,1.188,9.501,1.194,3.737,1.03
Microtus_pinetorum,SD,13.02,21.27,2.636,10.16,4.571,3.013,4.571,4.241,1.584,1.034,3.045,2.579,10.12,1.861,1.196,7.791,1.382,2.627,1.93
Microtus_californicus,SD,15.83,27.19,3.51,15.52,7.79,5.17,7.79,7.79,2.93,0.96,3.35,2.92,14.88,2.12,1.12,8.68,0.71,3.11,2.03
Myospalax_aspalax,SD,24.84,38.65,12.44,22.78,14.11,9.328,14.11,14.11,5.166,3.407,11.63,8.656,16.34,3.915,3.326,23.78,5.699,11.04,15.42
Octodon_degus,SD,24.04,42.83,7.737,24.43,10.2,7.663,10.2,9.94,3.811,1.931,5.903,5.395,23.88,4.027,2.133,17.02,2.107,6.504,3.244
Pedetes_capensis,SD,102.6,153.1,17.27,83.18,43.15,37.71,43.15,36.64,8.485,7.26,28.98,17.65,99.17,19.09,6.747,53.95,19.24,27,26.2
Xerospermophilus_spilosoma,SD,21.03,38.41,6.178,21.84,9.588,6.087,9.588,8.936,2.345,1.348,5.66,4.692,20.74,4.307,2.732,17.77,2.739,5.342,3.725
Xerospermophilus_tereticaudus,SD,22.61,34.88,5.381,22.11,9.974,6.369,9.974,8.918,1.766,1.697,5.707,5.122,20.19,3.439,2.531,18.68,2.732,6.174,3.705
Tamias_palmeri,QC,19.9,36.05,5.518,19.53,7.997,5.439,7.997,7.685,1.681,1.104,5.111,3.868,20.67,3.177,2.381,16.82,1.604,4.798,2.372
Thomomys_bottae,SD,26.04,38.96,6.134,22.75,12.62,7.755,12.62,12.28,3.882,2.355,7.212,6.773,22.85,3.637,2.028,19.47,5.529,7.716,6.736
Thomomys_mazama,SD,18.96,33.33,3.782,17.87,9.741,11.31,9.744,9.388,3.324,1.87,6.979,5.99,15.69,2.852,1.275,18.06,4.616,6.563,6.264
Thomomys_talpoides,SD,16.61,28.42,3.729,14.27,7.748,5.495,7.748,7.748,2.501,1.651,5.923,3.838,12.97,3.221,1.275,15.55,3.451,4.968,4.649
Jaculus_jaculus,SD,19.22,25.07,6.141,10.16,4.898,3.669,4.898,4.771,1.404,0.8867,3.286,2.578,13.2,1.788,1.58,8.385,2.018,3.016,2.378
Sciurus_vulgaris,QC,35.29,60.43,9.91,45.01,18.4,13.92,18.4,18.4,3.046,2.074,10.99,7.303,45.6,4.089,3.686,42.82,3.994,9.446,5.464
Marmota_caudata,SD,38.22,64.23,10.46,38.41,16.22,12.96,16.22,16.22,4.315,4.157,12.23,10.64,25.97,5.044,6.807,47.07,5.559,13.6,6.793
Nannospalax_leucodon,CT,36.19,46.49,14.86,23.52,15.49,8.549,15.49,15.7,4.998,3.546,7.791,10.78,19.63,3.558,1.777,15.6,2.532,8.558,3.217
Microtus_chrotorrhinus,CUR,25.99,46.13,4.58,24.26,11.82,7.901,11.82,11.48,3.422,2.34,5.857,4.983,23.09,2.348,2.117,19.88,2.384,5.979,3.231
Saccostomus_campestris,SD,16.12,32.38,4.704,16.98,8.606,5.646,8.606,8.345,1.934,1.075,4.27,3.63,18.1,2.1,1.805,10.58,1.627,3.64,1.455
Nesomys_rufus,CUR,23.77,47.02,5.327,25.81,11.26,6.04,11.26,10.88,2.396,1.467,5.432,4.697,27.32,4.217,3.128,19.1,2.477,5.917,3.004
Pachyuromys_duprasi,CUR,21.99,35.08,4.922,15.22,6.847,5.534,6.847,6.851,2.418,1.701,4.297,3.318,19.73,2.244,1.87,10.41,1.094,4.445,1.989
Meriones_unguiculatus,SD,17.69,34.64,2.749,16.1,7.789,4.479,7.789,7.761,2.505,1.526,4.164,3.364,17.37,2.293,1.686,10.95,2.502,4.687,2.573
Deomys_ferrugineus,CUR,16.18,36.65,3.847,18.51,8.933,5.456,8.933,7.097,1.436,1.499,4.187,3.491,20.44,2.224,2.271,13.76,1.783,3.806,1.489
Rattus_leucopus,CUR,13.25,21.06,2.911,11.94,6.684,4.71,6.684,6.673,1.936,1.142,3.643,3.365,12.58,2.116,1.43,8.199,1.336,3.288,1.573
Rhabdomys_pumilio,CUR,16.04,28.55,5.453,14.89,6.823,5.246,6.823,6.576,2.05,0.9295,3.334,3.204,14.7,2.383,1.575,9.884,1.629,3.37,1.948
Mastomys_natalensis,CUR,14.07,28.64,3.011,14.92,7.807,4.893,7.807,7.807,1.73,1.446,3.662,3.246,14.92,2.315,1.403,9.89,1.04,3.548,1.365
Mus_musculus,CUR,10.55,18.89,2.471,9.508,4.93,2.498,4.93,4.93,1.229,0.6605,2.469,1.956,9.739,1.738,1.014,8.207,1.195,2.303,1.159
Myopus_schisticolor,CUR,14.65,24.13,3.39,12.53,5.589,3.468,5.589,5.589,1.705,0.842,2.582,1.984,12.9,1.359,1.52,8.06,0.8211,3.184,1.497
Lemmus_lemmus,SD,19.58,28.69,3.706,16.86,8.048,5.314,8.048,7.871,3.1,1.525,4.234,3.188,15.31,2.554,2.052,11.09,1.465,3.775,2.648
Myodes_gapperi,CUR,12.67,22.67,2.561,12.71,5.295,3.798,5.295,5.18,1.954,0.9574,2.938,2.773,12.32,2.43,1.944,9.594,1.057,2.713,1.77
Peromyscus_californicus,CUR,14.53,29.9,3.627,14.87,6.216,4.094,6.216,5.883,2.068,1.311,3.664,2.634,17.46,2.326,2.167,10.7,1.31,3.704,1.308
Peromyscus_leucopus,CUR,13.72,24.82,3.048,13.33,6.092,4.455,6.092,5.888,1.722,0.8707,3.259,2.31,14.15,2.153,1.771,9.837,1.04,3.074,1.12
Onychomys_leucogaster,SD,16.27,26.97,3.621,15.568,7.24,4.617,7.121,7.24,2.678,0.9041,4.193,3.372,16.31,2.119,2.022,12.02,1.896,4.044,2.219
Reithrodontomys_megalotis,CUR,11.03,21.66,4.377,9.712,4.044,2.886,4.044,3.898,1.455,0.7683,2.252,1.704,11.76,1.252,2.282,7.018,0.9017,2.255,0.7825
Neotoma_cinerea,CUR,25.05,43.86,4.733,29.12,13.02,8.97,13.02,12.18,3.437,2.165,6.877,4.728,29.67,3.969,3.302,17.81,3.143,7.632,2.616
Neotoma_albigula,CUR,23.23,42.63,7.152,25.66,11.75,9.118,11.15,11.75,2.696,1.92,6.25,4.559,26.92,3.697,3.555,15.82,1.915,6.533,2.038
Sigmodon_hispidus,CUR,21.03,34.69,5.812,20.46,10.1,6.482,10.1,9.954,2.824,1.601,4.948,4.235,20.05,3.484,2.718,14.36,2.648,5.134,2.563
Dasymys_incomtus,FP,19.66,35.01,4.348,19.14,8.969,6.264,8.969,8.969,2.982,2.144,4.47,3.587,20.7,2.932,2.036,13.68,1.426,4.838,2.211
Hydromys_chrysogaster,HP,27.22,51.79,7.114,29.25,15.24,10.48,14.06,15.37,3.972,2.81,7.851,5.849,27.82,4.68,4.618,21.82,3.076,7.68,3.711
Oryzomys_palustris,HP,16.2,28.92,4.44,15.4,7.005,4.775,6.665,6.675,2.648,1.484,4.141,3.062,16.36,2.828,2.625,12.32,1.627,3.795,1.473
Meriones_crassus,SD,20.79,36.17,4.528,15.91,7.518,4.153,7.518,7.191,2.602,1.307,3.794,3.258,19.89,2.469,2.23,9.576,2.294,4.114,2.021
Eliurus_webbi,QC,18.67,38.12,3.62,20.73,9.291,7.221,8.956,9.063,2.572,1.565,5.445,3.708,21.57,3.8,2.766,15.75,1.721,5.276,2.17
Brachytarsomys_albicauda,QC,24.91,43.9,3.54,25.85,12.17,7.736,12.17,11.73,3.658,2.736,7.58,4.589,26.08,4.267,4.144,18.48,2.223,7.352,2.621
Hylomyscus_alleni,QC,13.29,27.37,1.876,14.09,5.998,4.471,5.998,5.7,1.436,1.143,3.281,2.629,14.38,1.617,2.07,8.695,1.204,3.274,1.222
Tamiasciurus_hudsonicus,QC,27.32,47.08,6.92,30.99,13.51,9.92,13.51,13.51,3.15,1.72,8.35,5.25,29.61,5.03,3.02,30.94,2.83,5.36,6.79
Myocastor_coypus,HP,58.59,94.29,11.27,65.4,33.54,27.32,33.54,32.61,10.38,6.24,20.14,17.24,75.32,17.07,12.08,62.08,10.39,17.44,14.92
Ondatra_zibethicus,HP,40.41,62.88,7.37,40.95,23.35,14.77,23.35,23.35,6.03,2.86,12.56,10.87,44.37,7.3,6,32.34,6.65,8.1,9.83
Cynomys_leucurus,SD,44.51,61.43,9.92,42.51,20.96,16.07,20.96,20.96,5.01,3.17,12.81,9.59,40.37,6.33,4.58,37.93,4.28,10.82,11.55
Castor_canadensis,HP,94.68,144.36,22.2,85.56,43.01,39.89,41.33,41.74,14.73,6.87,31.8,24.43,84.96,20.74,12.07,68.22,12.18,28.85,18.73
Arborimus_longicaudus,QC,13.72,25.03,3.19,14.71,7.02,4.91,7.02,6.64,1.67,1.26,3.67,2.46,13.55,2.56,1.52,10.57,1.48,3.28,2.28
Lepus_californicus,CUR,44.94,98.53,12.98,88.64,31.82,26.19,31.82,31.82,5.05,4.65,10.51,13.29,100.05,7.76,7.77,50.75,7.46,10.57,8.73
Lepus_americanus,CUR,30.72,68.93,12.9,64.14,23.32,14.64,23.32,13.9,2.38,3.27,7.38,8.03,63.04,11.47,6.23,51.85,6.32,11.91,10.2
Oryctolagus_cuniculus,SD,40.46,83.17,17.81,66.06,28.2,24.95,28.2,17.42,4.54,4.36,9.68,10.65,60.96,23.6,7.08,45.52,7.2,13.86,10.96
Potamogale_velox,FP,23.81,46.03,7.365,29.66,11.91,11.41,11.91,10.9,1.787,2.917,7.288,6.884,19.08,5.675,2.32,24.2,3.744,9.013,3.235
Tenrec_ecaudatus,SD,23.26,61.51,8.548,32.84,19.3,13.95,19.3,13.64,2.627,3.949,11.97,9.511,27.35,5.897,7.557,30.667,4.79,12.67,5.556
Micropotamogale_ruwenzorii,FP,16.96,36.82,8.234,19.66,12.17,7.674,12.17,8.286,6.158,1.615,5.92,5.785,15.84,2.666,4.019,17.61,2.326,6.215,2.976
Echinops_telfairi,CUR,16.98,35,4.191,19.39,9.215,7.346,9.215,7.976,1.513,1.279,5.623,4.528,17.62,2.857,2.272,16.46,1.762,5.724,2.688
Setifer_setosus,CUR,19.91,43.82,3.55,26.12,13.7,11.14,13.7,10.32,1.406,1.816,8.33,5.977,24.09,3.379,6.159,25.48,2.902,10.64,3.371
Microgale_thomasi,CUR,11.33,26.42,4.655,12.45,6.751,4.393,6.751,4.596,1.253,1.046,4.371,3.275,12.04,2.472,1.789,12.7,1.341,4.186,2.196
Geogale_aurita,CUR,8.122,20.11,2.461,9.704,3.66,3.417,3.66,3.48,0.6447,0.5869,2.245,1.688,8.497,1.328,1.69,8.444,0.9664,2.258,0.8709
Macroscelides_proboscideus,SD,22.6,33.57,7.462,16.73,7.267,4.587,7.267,6.891,1.151,1.465,3.24,3.848,23.57,4.675,1.428,12.14,2.128,4.315,1.89
Rhynchocyon_petersi,CUR,37.05,65.73,10.85,37.63,22.2,12.13,22.2,20.49,2.361,3.732,7.795,8.857,38.12,5.82,7.279,38.29,3.575,7.892,6.669
Rhynchocyon_cirnei,CUR,35.27,66.77,10.39,36.81,19.87,11.73,15.2,14.16,2.327,2.621,7.847,8.658,36.53,6.055,8.906,36.46,3.933,6.555,7.425
Petrosaltator_rozeti,CUR,19.7,34.05,6.831,17.85,6.957,4.621,6.957,6.797,1.39,0.942,2.966,3.593,22.96,3.176,2.968,12.82,1.474,3.504,1.504
Elephantulus_brachyrhynchus,CUR,17.46,33.27,6.204,16.99,9.011,4.798,9.011,8.444,1.337,1.288,3.025,3.157,17.99,2.798,2.52,11.32,1.59,3.208,2
Elephantulus_myurus,CUR,20.86,38.51,6.584,21.1,8.598,6.71,8.598,7.84,1.619,1.875,3.992,4.347,22.38,3.835,3.564,15.7,1.942,4.263,2.696
Sorex_cinereus,CUR,16.83,8.189,2.918,5.956,2.564,2.412,2.592,1.516,0.692,0.7629,1.944,1.658,7.138,1.032,1.22,5.924,0.4163,2.227,0.9065
Atelerix_albiventris,CUR,24.07,36.42,6.589,28.36,12.13,9.188,14.44,11.79,1.988,2.757,7.627,6.846,27.24,5.185,3.694,18.34,2.758,6.393,2.316
Suncus_etruscus,CUR,6.229,12.53,1.764,4.963,2.479,1.658,2.479,1.435,0.4054,0.4223,1.44,1.084,4.758,0.628,0.6095,4.524,0.4761,1.533,0.5352
Tupaia_tana,QC,24.95,58.63,7.311,33.02,13.14,9.825,9.112,12.65,3.275,1.998,8.195,5.961,32.62,3.776,4.768,28.46,3.772,8.189,4.055
Urogale_everetti,QC,25.44,57.31,8.428,29.04,12.25,8.873,12.25,11.41,2.291,1.935,8.26,6.246,30.74,3.677,5.536,26.34,3.575,8.479,4.517
Ptilocercus_lowii,QC,22.78,37.88,5.049,21.92,10.01,6.416,7.211,5.772,2.525,1.126,5.26,2.733,24.54,3.574,2.024,18.79,1.889,6.496,2.347
Erinaceus_europaeus,CUR,33.42,55.88,7.679,41.71,17.78,15.66,17.78,15.01,3.652,3.771,12.14,11.49,37.28,8.858,7.938,33.3,5.268,14.03,5.319
Hemiechinus_auritus,CUR,26.56,43.27,6.916,29.85,13.92,11.98,13.92,10.48,2.898,2.192,7.979,8.058,30.94,3.558,5.286,23.06,2.681,8.456,3.603
Neomys_fodiens,FP,10.76,20.05,5.108,8.331,4.102,3.801,4.102,2.686,0.978,0.8156,3.724,2.313,9.724,1.664,1.472,9.67,0.7979,2.711,1.382
Solenodon_paradoxus,SD,33.42,89.91,12.9,51.14,28.78,20.03,25.77,26.57,4.808,4.357,18.66,13.99,42.8,8.608,8.382,46.49,6.413,17.01,9.276
Crocidura_russula,CUR,9.466,20.14,3.795,8.525,4.255,3.555,3.847,2.564,1.093,0.9106,2.699,1.849,8.625,1.515,1.074,7.994,0.7633,3.16,1.169
